Strain,Rec,date,transfer,plateID,wellID,wellCol,wellRow,Treatment,Replicate,Environment,OD,Treatment_f
AB3,com+,290720,T01,MIX AB3 SHIFT 2,D3,3,D,MIX,8,X,0.984,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,D4,4,D,MIX,8,S,0.926,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,D5,5,D,MIX,8,R,0.972,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 2,D6,6,D,MIX,8,B,0.07,Mixed
AB3,com+,290720,T01,CMB AB3 SHIFT 2,A1,1,A,CMB,5,X,1.066,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,A2,2,A,CMB,5,X,1.061,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,A3,3,A,CMB,5,X,0.996,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,A4,4,A,CMB,5,B,0.075,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,A5,5,A,CMB,5,B,0.068,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,A6,6,A,CMB,5,B,0.073,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,B1,1,B,CMB,6,X,0.981,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,B2,2,B,CMB,6,X,0.923,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,B3,3,B,CMB,6,X,0.9,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,B4,4,B,CMB,6,B,0.077,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,B5,5,B,CMB,6,B,0.077,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,B6,6,B,CMB,6,B,0.072,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,C1,1,C,CMB,7,X,0.951,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,C2,2,C,CMB,7,X,0.891,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,C3,3,C,CMB,7,X,0.874,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,C4,4,C,CMB,7,B,0.086,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,C5,5,C,CMB,7,B,0.073,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,C6,6,C,CMB,7,B,0.076,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,D1,1,D,CMB,8,X,0.98,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,D2,2,D,CMB,8,X,0.913,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,D3,3,D,CMB,8,X,0.898,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,D4,4,D,CMB,8,B,0.073,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,D5,5,D,CMB,8,B,0.075,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 2,D6,6,D,CMB,8,B,0.077,Combination
AB3,com+,290720,T01,NOD 1 SHIFT 2,A1,1,A,NOD,5,X,0.894,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,A2,2,A,NOD,5,X,0.896,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,A3,3,A,NOD,5,X,0.89,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,A4,4,A,NOD,5,X,0.962,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,A5,5,A,NOD,5,X,1.058,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,A6,6,A,NOD,5,X,1.108,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,B1,1,B,NOD,6,X,0.93,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,B2,2,B,NOD,6,X,0.943,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,B3,3,B,NOD,6,X,0.959,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,B4,4,B,NOD,6,X,0.97,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,B5,5,B,NOD,6,X,1.042,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,B6,6,B,NOD,6,X,1.119,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,C1,1,C,NOD,7,X,0,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,C2,2,C,NOD,7,X,0,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,C3,3,C,NOD,7,X,0,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,C4,4,C,NOD,7,X,0,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,C5,5,C,NOD,7,X,0,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,C6,6,C,NOD,7,X,0,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,D1,1,D,NOD,8,X,0,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,D2,2,D,NOD,8,X,0,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,D3,3,D,NOD,8,X,0,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,D4,4,D,NOD,8,X,0,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,D5,5,D,NOD,8,X,0,No drug
AB3,com+,290720,T01,NOD 1 SHIFT 2,D6,6,D,NOD,8,X,0,No drug
AB3,com+,300720,T02,STR AB3 SHIFT 1,A1,1,A,STR,1,X,0.822,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,A2,2,A,STR,1,X,0.776,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,A3,3,A,STR,1,X,0.779,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,A4,4,A,STR,1,S,0.806,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,A5,5,A,STR,1,S,0.832,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,A6,6,A,STR,1,S,0.856,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,B1,1,B,STR,2,X,0.839,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,B2,2,B,STR,2,X,0.792,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,B3,3,B,STR,2,X,0.791,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,B4,4,B,STR,2,S,0.802,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,B5,5,B,STR,2,S,0.848,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,B6,6,B,STR,2,S,0.844,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,C1,1,C,STR,3,X,0.875,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,C2,2,C,STR,3,X,0.833,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,C3,3,C,STR,3,X,0.83,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,C4,4,C,STR,3,S,0.881,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,C5,5,C,STR,3,S,0.881,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,C6,6,C,STR,3,S,0.87,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,D1,1,D,STR,4,X,0.863,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,D2,2,D,STR,4,X,0.86,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,D3,3,D,STR,4,X,0.858,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,D4,4,D,STR,4,S,0.919,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,D5,5,D,STR,4,S,0.936,STP only
AB3,com+,300720,T02,STR AB3 SHIFT 1,D6,6,D,STR,4,S,0.954,STP only
AB3,com+,300720,T02,RIF AB3 SHIFT 1,A1,1,A,RIF,1,X,0.901,RIF only
AB3,com+,300720,T02,RIF AB3 SHIFT 1,A2,2,A,RIF,1,X,0.81,RIF only
AB3,com+,300720,T02,RIF AB3 SHIFT 1,A3,3,A,RIF,1,X,0.758,RIF only
AB3,com+,300720,T02,RIF AB3 SHIFT 1,A4,4,A,RIF,1,R,0.833,RIF only
AB3,com+,300720,T02,RIF AB3 SHIFT 1,A5,5,A,RIF,1,R,0.885,RIF only
AB3,com+,300720,T02,RIF AB3 SHIFT 1,A6,6,A,RIF,1,R,0.94,RIF only
AB3,com+,300720,T02,RIF AB3 SHIFT 1,B1,1,B,RIF,2,X,0.87,RIF only
AB3,com+,300720,T02,RIF AB3 SHIFT 1,B2,2,B,RIF,2,X,0.778,RIF only
AB3,com+,300720,T02,RIF AB3 SHIFT 1,B3,3,B,RIF,2,X,0.762,RIF only
